first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,starts,team_id,team_name,squad_strength,status,Season
Folarin,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,FWD,0,1,Arsenal,5,u,2023
Cédric,Alves Soares,0,0,3,59,0,4.3,2,0,0,15,0.6,0,0,0,0.5,38,DEF,0,1,Arsenal,5,a,2023
Mohamed,Elneny,0,1,6,25,0,2.1,4,10,0,16,1.6,0,0,0,0.1,44,MID,0,1,Arsenal,5,a,2023
Fábio,Ferreira Vieira,1,3,24,290,2,88.8,82.8,85,0,67,25.5,1,1,0,0.1,54,MID,2,1,Arsenal,5,a,2023
Gabriel,dos Santos Magalhães,3,1,149,3042,26,121.9,675.8,379,8,676,117.9,16,0,4,28.3,54,DEF,34,1,Arsenal,5,a,2023
Kai,Havertz,13,10,180,2627,22,613.4,763.2,1027,15,515,240.2,16,0,11,11.9,76,MID,30,1,Arsenal,5,a,2023
Gabriel,Fernando de Jesus,4,7,85,1470,11,403,364.8,756,10,271,152.7,11,0,6,2.6,77,FWD,17,1,Arsenal,5,a,2023
Jorge Luiz,Frello Filho,0,2,44,913,11,187.8,165.4,16,1,182,36.8,4,0,1,0.2,53,MID,10,1,Arsenal,5,a,2023
Jakub,Kiwior,1,3,67,942,8,106.9,228.8,90,1,260,42.7,6,0,1,0.6,40,DEF,11,1,Arsenal,5,a,2023
Marcus,Oliveira Alencar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,0,1,Arsenal,5,u,2023
Gabriel,Martinelli Silva,6,5,118,2010,23,717.1,500.4,795,6,404,200.8,10,0,1,4.2,75,MID,24,1,Arsenal,5,a,2023
Eddie,Nketiah,5,4,71,1065,10,136.3,235,417,5,206,77.2,6,0,3,3.1,50,FWD,10,1,Arsenal,5,a,2023
Martin,Ødegaard,8,11,186,3098,23,1499.4,910.4,757,26,703,317,19,0,2,18,86,MID,35,1,Arsenal,5,a,2023
Thomas,Partey,0,0,24,785,5,122.9,117.6,37,0,142,27.8,5,0,3,0.1,48,MID,9,1,Arsenal,5,a,2023
Nicolas,Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,0,1,Arsenal,5,u,2023
Aaron,Ramsdale,0,0,20,540,5,0,73.2,0,0,90,7.3,2,0,0,5.4,45,GK,6,1,Arsenal,5,a,2023
Rúnar Alex,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK,0,1,Arsenal,5,u,2023
