first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,starts,team_id,team_name,squad_strength,status,League_Position,Season
Fábio,Ferreira Vieira,1,3,24,290,2,88.8,82.8,85,0,67,25.5,1,1,0,0.1,55,MID,2,1,Arsenal,5,a,,2024
Gabriel,Fernando de Jesus,4,7,85,1470,11,403,364.8,756,10,271,152.7,11,0,6,1.5,70,FWD,17,1,Arsenal,5,a,,2024
Gabriel,dos Santos Magalhães,3,1,149,3042,26,121.9,675.8,379,8,676,117.9,16,0,4,11.9,60,DEF,34,1,Arsenal,5,a,,2024
Kai,Havertz,13,10,180,2627,22,613.4,763.2,1027,15,515,240.2,16,0,11,14.2,80,FWD,30,1,Arsenal,5,a,,2024
Karl,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,40,GK,0,1,Arsenal,5,a,,2024
Jurriën,Timber,0,0,0,70,0,4.7,5.8,2,0,4,1.3,0,0,2,1.9,55,DEF,1,1,Arsenal,5,a,,2024
Jorge Luiz,Frello Filho,0,2,44,913,11,187.8,165.4,16,1,182,36.8,4,0,1,0.3,50,MID,10,1,Arsenal,5,a,,2024
Jakub,Kiwior,1,3,67,942,8,106.9,228.8,90,1,260,42.7,6,0,1,0.3,50,DEF,11,1,Arsenal,5,a,,2024
Gabriel,Martinelli Silva,6,5,118,2010,23,717.1,500.4,795,6,404,200.8,10,0,1,4.2,70,MID,24,1,Arsenal,5,a,,2024
Reiss,Nelson,0,0,16,256,1,87.7,42.8,39,0,58,16.9,1,0,1,0.1,50,MID,1,1,Arsenal,5,a,,2024
Eddie,Nketiah,5,4,71,1065,10,136.3,235,417,5,206,77.2,6,0,3,0.4,60,FWD,10,1,Arsenal,5,a,,2024
Ethan,Nwaneri,0,0,1,13,0,12.3,2,4,0,3,1.8,0,0,0,0.2,45,MID,0,1,Arsenal,5,a,,2024
Martin,Ødegaard,8,11,186,3098,23,1499.4,910.4,757,26,703,317,19,0,2,17,85,MID,35,1,Arsenal,5,a,,2024
Aaron,Ramsdale,0,0,20,540,5,0,73.2,0,0,90,7.3,2,0,0,0.9,45,GK,6,1,Arsenal,5,a,,2024
David,Raya Martin,0,0,135,2880,24,0,413,0,6,569,41.1,16,0,2,22.8,55,GK,32,1,Arsenal,5,a,,2024
Declan,Rice,7,9,165,3225,28,745.3,959.4,451,17,744,215.9,17,0,5,5.6,65,MID,37,1,Arsenal,5,a,,2024
Bukayo,Saka,16,12,226,2922,27,1319.8,1093.8,1342,29,776,375.7,16,0,4,26.5,100,MID,35,1,Arsenal,5,a,,2024
William,Saliba,2,1,164,3420,29,152.1,697.2,140,13,781,99.1,18,0,4,41,60,DEF,38,1,Arsenal,5,a,,2024
Emile,Smith Rowe,0,2,25,343,3,72.2,62.4,128,0,73,25.6,3,0,0,1.6,55,MID,3,1,Arsenal,5,a,,2024
Thomas,Partey,0,0,24,785,5,122.9,117.6,37,0,142,27.8,5,0,3,0.1,50,MID,9,1,Arsenal,5,a,,2024
Kieran,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,45,DEF,0,1,Arsenal,5,a,,2024
Tomiyasu,Takehiro,2,1,70,1140,10,141.8,247,143,4,244,52.8,6,1,0,0.4,50,DEF,10,1,Arsenal,5,a,,2024
Leandro,Trossard,12,2,138,1633,10,384.7,563.6,746,11,398,169.5,12,0,2,3.1,70,MID,18,1,Arsenal,5,a,,2024
Benjamin,White,4,5,182,2987,26,589.4,765.8,234,14,776,159,18,0,8,12,65,DEF,35,1,Arsenal,5,a,,2024
Oleksandr,Zinchenko,1,2,104,1717,15,474.8,395.4,133,16,468,100.4,9,0,2,1.6,50,DEF,20,1,Arsenal,5,a,,2024
Riccardo,Calafiori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,60,DEF,0,1,Arsenal,5,a,,2024
Álex,Moreno Lopera,2,0,49,1024,20,156.9,217.8,152,5,211,52.7,3,0,2,0.8,45,DEF,11,2,Aston Villa,3,a,,2024
Cameron,Archer,4,3,82,1829,50,309.3,266,353,9,241,92.8,2,0,2,1.1,50,FWD,21,2,Aston Villa,3,a,,2024
Leon,Bailey,10,11,148,2063,32,707.1,663.2,623,11,482,199.1,5,0,5,4.6,65,MID,22,2,Aston Villa,3,a,,2024
Ross,Barkley,5,5,101,2616,66,622.8,687.4,379,4,498,168.7,2,0,6,1.1,55,MID,30,2,Aston Villa,3,a,,2024
Enzo,Barrenechea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,50,MID,0,2,Aston Villa,3,a,,2024
Emiliano,Buendía Stati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,55,MID,0,2,Aston Villa,3,a,,2024
Matty,Cash,2,2,64,2138,36,231.8,465.2,378,4,337,107.1,3,0,8,2.9,45,DEF,23,2,Aston Villa,3,a,,2024
Leander,Dendoncker,1,1,20,118,3,3.9,59.2,37,3,64,10,0,0,0,0.9,45,MID,1,2,Aston Villa,3,a,,2024
Moussa,Diaby,6,11,142,2168,40,617.8,515.4,675,10,429,180.6,8,0,1,0.6,65,MID,25,2,Aston Villa,3,u,,2024
Diego Carlos,Santos Silva,0,0,55,1809,36,59.8,370.4,100,1,338,53.2,6,0,4,0.6,45,DEF,20,2,Aston Villa,3,a,,2024
Lucas,Digne,1,4,85,2405,41,601.7,448.4,200,5,420,125.1,6,0,7,1.9,45,DEF,27,2,Aston Villa,3,a,,2024
Lewis,Dobbin,1,0,18,226,3,50.5,68.4,59,0,54,17.7,1,0,1,0,50,MID,1,2,Aston Villa,3,a,,2024
Jhon,Durán,5,1,50,461,12,55.2,190.2,165,7,162,40.2,0,0,5,0.4,60,FWD,3,2,Aston Villa,3,a,,2024
Joe,Gauci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,40,GK,0,2,Aston Villa,3,a,,2024
Kortney,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,40,DEF,0,2,Aston Villa,3,a,,2024
Samuel,Iling-Junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,55,MID,0,2,Aston Villa,3,a,,2024
Boubacar,Kamara,0,1,40,1653,22,292.7,256.2,44,1,247,59.1,7,1,7,0,50,MID,20,2,Aston Villa,3,i,,2024
Kaine,Kesler-Hayden,0,0,3,5,0,0,0,0,0,9,0,0,0,0,0.2,40,DEF,0,2,Aston Villa,3,a,,2024
Ezri,Konsa Ngoyo,1,1,91,3069,54,170.6,554.4,223,7,562,95,7,0,5,17.8,45,DEF,35,2,Aston Villa,3,a,,2024
Ian,Maatsen,0,0,11,200,5,44.8,29.4,29,0,24,10.3,0,0,1,5.2,50,DEF,1,2,Aston Villa,3,a,,2024
Filip,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,2,Aston Villa,3,u,,2024
Emiliano,Martínez Romero,0,0,115,3015,48,20,802,0,19,640,82.2,8,0,4,13.2,50,GK,34,2,Aston Villa,3,a,,2024
John,McGinn,6,5,119,3000,54,690.7,640.4,360,9,502,169.4,7,1,9,1.8,55,MID,35,2,Aston Villa,3,a,,2024
Tyrone,Mings,0,0,0,30,2,13,3.6,5,0,5,2.2,0,0,0,0.6,45,DEF,1,2,Aston Villa,3,a,,2024
Kosta,Nedeljković,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,DEF,0,2,Aston Villa,3,a,,2024
Robin,Olsen,0,0,17,405,13,0,194.6,0,3,107,19.5,0,0,0,0.3,45,GK,4,2,Aston Villa,3,a,,2024
Pau,Torres,2,0,85,2462,37,150.6,479.4,135,4,461,76.6,6,0,1,1.6,45,DEF,27,2,Aston Villa,3,a,,2024
Jacob,Ramsey,1,1,29,848,12,159.3,124,182,0,101,46.7,0,0,2,0.3,55,MID,8,2,Aston Villa,3,a,,2024
Morgan,Rogers,3,1,35,636,13,118.4,177.8,150,0,114,44.5,2,0,3,6.4,50,MID,8,2,Aston Villa,3,a,,2024
Viljami,Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,GK,0,2,Aston Villa,3,u,,2024
Lino,da Cruz Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,40,DEF,0,2,Aston Villa,3,a,,2024
Youri,Tielemans,2,6,77,1613,27,325.4,369.2,136,2,318,83.3,4,0,3,0.5,55,MID,17,2,Aston Villa,3,a,,2024
Ollie,Watkins,19,18,228,3222,56,588.5,1024.6,1420,29,752,302.8,7,0,4,54.4,90,FWD,37,2,Aston Villa,3,a,,2024
Amadou,Onana,2,0,66,2085,38,282.7,354,254,5,304,89.5,5,0,5,0.9,50,MID,23,2,Aston Villa,3,a,,2024
Jaden,Philogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,55,MID,0,2,Aston Villa,3,a,,2024
Max,Aarons,0,1,28,1233,35,114,179.6,27,0,199,31.8,2,0,1,0.3,45,DEF,13,3,Bournemouth,3,a,,2024
Tyler,Adams,0,0,5,118,3,14.1,24.6,10,1,28,4.9,0,0,0,0,50,MID,1,3,Bournemouth,3,i,,2024
Jaidon,Anthony,0,0,3,151,5,4.6,9,16,0,4,3,0,0,1,0.4,45,MID,2,3,Bournemouth,3,a,,2024
David,Brooks,1,1,23,271,7,112.4,88.2,113,2,71,31.4,0,0,1,0.1,50,MID,2,3,Bournemouth,3,a,,2024
Ryan,Christie,0,5,90,2908,56,780.2,620.2,351,5,433,175.4,8,0,6,0.2,50,MID,35,3,Bournemouth,3,a,,2024
Lewis,Cook,0,3,77,2787,51,681.9,520.2,67,5,446,127.2,8,1,5,0.1,50,MID,32,3,Bournemouth,3,a,,2024
Enes,Ünal,2,4,40,317,9,58.6,142.4,242,3,99,43.7,1,0,1,0.1,55,FWD,2,3,Bournemouth,3,a,,2024
Romain,Faivre,0,0,4,37,1,2.5,5,13,0,9,1.8,0,0,1,0,50,MID,0,3,Bournemouth,3,a,,2024
Hamed,Traorè,0,0,3,44,1,14.8,12.8,30,0,10,5.7,0,0,0,0.2,45,MID,0,3,Bournemouth,3,a,,2024
James,Hill,0,0,5,74,1,2.2,32.6,0,0,22,3.5,0,0,0,0.4,40,DEF,1,3,Bournemouth,3,a,,2024
Daniel,Jebbison,0,0,1,20,0,0.1,0,4,0,3,0.4,0,0,0,0.7,45,FWD,0,3,Bournemouth,3,a,,2024
Milos,Kerkez,0,2,59,1966,37,216.5,310,150,1,290,67.7,6,1,4,0.6,45,DEF,22,3,Bournemouth,3,a,,2024
Justin,Kluivert,7,1,100,1910,23,283.2,362.2,619,2,229,126.4,11,0,5,0.5,55,MID,26,3,Bournemouth,3,a,,2024
Chris,Mepham,0,1,16,613,16,40,142.6,27,0,113,21,1,0,2,0.1,45,DEF,6,3,Bournemouth,3,a,,2024
Norberto,Murara Neto,0,0,110,2880,55,0,875.2,0,14,592,87.5,7,0,5,2.8,45,GK,32,3,Bournemouth,3,a,,2024
Dango,Ouattara,1,2,56,1214,24,245.4,298.4,332,3,207,87.8,5,0,3,0,50,MID,12,3,Bournemouth,3,a,,2024
Alex,Paulsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,40,GK,0,3,Bournemouth,3,a,,2024
Philip,Billing,2,3,60,1385,36,313.5,304.2,267,3,228,88.3,2,1,3,0.1,50,MID,13,3,Bournemouth,3,a,,2024
